keyword_text,match_type,clicks,impressions,conversions,cost_eur,conversion_value,quality_score
shoe sizes,phrase,80,2830,4,389.64,721.01,7
discount shoes,exact,38,519,3,54.94,472.92,10
shoe models,broad,283,7762,23,415.6,3687.34,6
gym shoes,broad,63,5601,1,139.64,495.14,3
crossfit shoes,broad,131,9785,7,591.78,1631.65,6
training shoes,exact,130,1154,3,290.43,1354.1,8
reebok nano,phrase,64,2021,4,87.19,1778.83,7
adidas ultraboost,exact,36,268,0,122.31,0.0,10
 shoe colors ,broad,42,4455,0,204.38,0.0,4
discount shoes,phrase,84,2751,2,108.87,473.95,6
shoe reviews,phrase,91,3615,2,210.49,483.05,5
shoe shop,exact,122,1950,3,;252.9;,627.37,8
climbing shoes,broad,344,9508,17,389.44,4838.49,4
formal shoes,phrase,173,4692,12,643.0,3249.7,8
formal shoes,broad,96,4489,3,298.77,254.94,4
adidas ultraboost,exact,142,1168,1,633.76,207.63,8
men shoes,broad,88,4245,8,189.37,3146.52,4
puma running,phrase,180,2650,4,216.2,603.97,6
shoe brands,broad,277,8229,19,555.78,1206.13,5
adidas ultraboost,exact,187,1404,18,100.28,2573.46,8
winter boots,phrase,168,3909,5,536.94,1079.19,5
shoe models,exact,10,130,0,40.05,0.0,9
formal shoes,broad,61,1918,5,65.02,298.88,5
shoe shop,broad,75,6081,5,175.23,1543.92,3
shoe ratings,broad,10,1159,0,25.04,0.0,5
wide fit shoes,broad,19,2712,1,70.45,496.6,6
shoe promotion,phrase,224,4590,16,224.05,3408.09,8
running shoes,exact,66,481,3,50.05,769.9,8
running shoes,phrase,40,729,1,165.85,221.68,5
shoe clearance,exact,267,1945,6,1321.91,1070.5,8
shoe outlet,broad,34,1289,2,65.99,348.69,4
shoe comparison,broad,171,7193,2,566.17,291.64,4
work shoes,broad,124,8253,2,339.24,117.36,6
kids shoes,broad,256,8011,15,1267.88,5260.91,4
shoe discount,exact,121,959,11,579.03,;2654.29;,8
soccer shoes,phrase,101,2269,1,367.16,116.1,8
waterproof shoes,phrase,149,1953,  12  ,476.34,5364.77,7
winter boots,phrase,136,2132,8,411.97,3197.46,7
kids shoes,phrase,384,4841,27,408.81,9979.76,6
climbing shoes,phrase,77,1795,7,79.39,2991.41,6
adidas ultraboost,broad,53,1775,3,264.85,1466.46,5
basketball shoes,broad,107,3485,3,75.16,1378.81,6
shoe models,phrase,192,3919,9,473.02,2100.02,5
kids shoes,broad,38,2299,1,61.71,162.19,6
shoe outlet,exact,201,1385,6,839.15,522.9,10
converse all star,broad,80,2188,3,313.61,1477.81,4
casual shoes,phrase,41,1202,3,185.75,363.71,5
men shoes,phrase,49,1160,0,103.63,0.0,6
basketball shoes,phrase,171,4099,11,113.23,4877.46,7
shoe ratings,broad,119,6847,2,205.55,227.74,4
affordable shoes,exact,91,713,2,243.73,541.04,8
gym shoes,phrase,107,2717,9,328.3,1608.41,5
brand shoes,phrase,127,4145,9,533.59,4293.89,7
gym shoes,phrase,100,1669,8,142.38,628.46,6
hiking shoes,phrase,22,536,1,51.57,389.16,8
shoe colors,broad,63,2263,2,264.53,804.58,5
shoe sale,phrase,343,4326,13,1482.78,2967.11,8
yoga shoes,exact,55,991,4,95.87,427.78,10
 luxury shoes ,exact,140,1095,1,228.94,470.06,7
work shoes,phrase,89,2258,2,160.55,770.85,6
narrow shoes,broad,90,3876,1,246.78,156.49,5
waterproof shoes,phrase,63,1916,0,37.77,"106,82",5
adidas ultraboost,exact,75,1166,2,51.53,449.95,9
shoe promotion,broad,188,5018,2,662.13,416.6,6
shoe models,exact,15,144,0,9.55,0.0,9
tennis shoes,phrase,110,1961,2,468.53,839.55,5
crossfit shoes,phrase,110,2225,5,489.03,2427.23,8
yoga shoes,phrase,68,1935,-,277.98,904.38,5
soccer shoes,phrase,218,4690,10,678.18,2554.82,5
shoe outlet,phrase,103,4470,4,474.12,1621.0,8
shoe comparison,exact,88,1633,7,-9999.99,1328.13,8
shoe comparison,phrase,133,3728,12,562.77,5203.04,8
shoe shop,broad,194,9498,16,503.33,6647.83,3
puma running,exact,11,128,0,38.84,0.0,10
shoe ratings,phrase,254,3198,17,228.62,4181.99,6
gym shoes,broad,233,8030,21,932.83,10348.5,5
basketball shoes,exact,43,557,1,122.48,418.41,7
training shoes,phrase,135,3726,1,166.29,382.57,8
summer sandals,broad,110,5084,3,167.93,375.02,4
shoe brands,broad,37,6926,1,175.88,347.64,4
shoe colors,exact,118,987,6,273.76,2241.02,8
affordable shoes,broad,64,5810,4,264.64,490.15,5
shoe brands,broad,230,6813,18,1041.09,7735.53,3
shoe models,exact,22,390,0,55.96,0.0,7
shoe shop,exact,87,1616,5,413.1,517.57,8
shoe reviews,broad,14,1049,1,43.24,292.25,5
men shoes,phrase,278,4569,17,1010.93,7474.17,7
brand shoes,broad,139,9900,5,228.6,989.24,4
wide fit shoes,exact,237,1650,5,193.26,942.5,8
brand shoes,broad,15,1597,0,50.59,0.0,5
skechers memory foam,phrase,151,2333,9,241.31,742.05,6
waterproof shoes,broad,284,8595,27,143.05,10805.95,4
luxury shoes,phrase,42,737,0,136.75,0.0,5
converse all star,exact,76,1244,0,58.69,0.0,7
women sports shoes,phrase,138,2645,11,418.35,5488.51,7
shoe models,exact,95,841,9,235.15,1952.89,8
leather shoes,phrase,33,1612,1,59.72,274.07,6
reebok nano,exact,123,1666,1,349.39,306.46,10
shoe discount,phrase,33,869,0,81.26,0.0,7
climbing shoes,broad,311,9337,30,458.35,3799.04,6
kids shoes,broad,26,1926,0,32.93,0.0,"4,00"
basketball shoes,phrase,262,3785,8,1272.13,956.76,8
vans sneakers,phrase,251,3675,-15,545.23,3199.14,6
training shoes,phrase,302,4434,20,474.65,2108.67,7
running shoes,exact,173,1674,9,604.11,2646.64,8
nike air max,phrase,4885,3885,17,313.41,6736.83,6
puma running,phrase,254,3931,7,1053.53,2404.91,5
winter boots,broad,124,6218,6,251.2,2553.93,3
shoe sizes,phrase,263,3302,21,500.46,2987.03,7
trail running shoes,exact,267,1873,10,1051.42,4679.65,9
skechers memory foam,phrase,58,1100,|5|,287.8,1820.33,5
luxury shoes,phrase,58,2029,3,159.57,295.43,  8  
reebok nano,broad,106,7733,3,295.14,150.5,6
reebok nano,phrase,32,636,3,24.87,461.67,5
marathon shoes,phrase,111,1723,5,391.93,2311.13,5
leather shoes,phrase,39,1900,2,87.94,748.32,7
 yoga shoes ,broad,172,7834,15,798.99,4345.68,3
narrow  shoes,exact,62,540,3,36.78,258.7,10
shoe sizes,broad,128,3552,12,316.38,5983.47,5
women sports shoes,phrase,65,2313,3,33.42,1008.95,"
6
"
online shoes,phrase,202,3169,18,884.5,7407.73,5
casual shoes,exact,80,1339,5,207.33,962.63,7
walking shoes,exact,35,262,2,165.9,440.57,9
shoe sizes,broad,20,1398,1,58.55,147.17,5
shoe clearance,broad,179,8682,17,264.4,5655.2,6
wide fit shoes,broad,260,7108,4,1190.9,  1411.15  ,6
winter boots,exact,32,316,2,111.83,162.27,7
men shoes,broad,7,1046,0,6.73,0.0,3
shoe shop,broad,207,5560,16,467.41,2416.39,5
casual shoes,phrase,120,2263,7,485.17,1036.1,6
shoe brands,broad,131,5547,4,196.85,1099.23,5
wide fit shoes,phrase,92,2615,7,275.54,1120.97,8
narrow shoes,exact,102,1450,6,483.68,1884.78,8
tennis shoes,broad,58,7335,5,195.31,1894.96,3
converse all star,exact,54,722,3,29.55,899.53,8
trail  running  shoes,phrase,201,4811,18,534.85,3132.8,8
puma running,broad,101,3549,5,281.54,1358.28,3
women sports shoes,phrase,166,2810,13,205.79,5707.39,5
shoe outlet,broad,104,5166,5,335.1,2054.98,6
shoe shop,phrase,30,1502,1,93.38,274.08,5
affordable shoes,exact,128,-1386,1,591.6,482.03,9
climbing shoes,broad,13,1280,0,55.47,0.0,6
 formal shoes ,broad,214,9409,11,121.91,1276.84,4
marathon shoes,phrase,55,1402,3,186.28,179.31,6
converse all star,exact,30,423,1,105.53,54.12,9
shoe store,phrase,169,3511,16,658.59,1351.7,5
wide fit shoes,phrase,344,4887,11,1473.71,4229.3,8
shoe models,phrase,159,4924,14,-259.94,925.09,7
reebok nano,broad,42,2399,2,161.2,428.38,5
men shoes,broad,323,8875,"26,00",1253.95,11795.35,3
marathon shoes,exact,65,788,1,47.91,427.72,9
brand shoes,exact,"121,00",1590,10,310.78,4773.96,9
shoe promotion,exact,229,1652,20,9999999.99,2032.44,8
puma running,phrase,141,3265,6,696.02,1063.7,8
kids shoes,exact,165,1461,8,377.12,2694.14,10
affordable shoes,phrase,19,755,1,29.55,382.9,6
converse all star,phrase,2834,1834,4,403.46,227.05,7
affordable shoes,broad,-137,4711,9,131.59,4217.5,5
climbing shoes,phrase,101,2625,9,60.37,741.87,8
shoe store,broad,46,8428,3,130.85,466.16,4
casual shoes,exact,46,767,1,132.93,113.85,9
kids shoes,phrase,132,1691,6,488.95,2417.04,7
shoe buying guide,broad,78,2497,6,41.71,2241.08,4
basketball shoes,exact,124,1112,10,379.01,4015.35,9
soccer shoes,phrase,252,4326,21,371.99,1270.94,0
leather shoes,phrase,263,3719,8,234.2,3810.76,8
leather shoes,exact,38,277,3,48.93,1358.37,7
soccer shoes,exact,36,705,0,104.41,0.0,8
shoe  shop,phrase,104,1932,5,479.21,270.16,-5
basketball shoes,phrase,315,4953,22,240.85,4778.63,8
casual shoes,phrase,138,3361,1,169.55,266.58,8
shoe discount,phrase,31,1203,1,127.34,465.47,5
training shoes,exact,36,433,0,33.69,0.0,7
shoe buying guide,exact,204,1860,3,546.59,779.37,7
 shoe sizes ,exact,196,1394,5,493.02,337.84,9
shoe comparison,broad,124,7790,1,607.17,323.29,5
marathon shoes,exact,63,860,3,185.95,773.66,9
men shoes,broad,162,9477,9,567.42,2196.47,6
narrow shoes,phrase,296,3917,6,315.42,868.3,6
training shoes,phrase,188,2431,8,183.23,3873.26,6
marathon shoes,broad,62,5200,3,123.78,565.66,4
online shoes,broad,92,3654,4,340.78,699.3,5
nike air max,broad,240,7016,6,179.3,373.83,5
hiking shoes,phrase,44,1427,2,51.52,135.14,6
shoe shop,phrase,256,4724,4,"1.206,74",1836.63,8
hiking shoes,exact,53,716,2,106.68,732.84,9
shoe reviews,broad,27,2453,0,43.38,0.0,3
winter boots,broad,74,3426,5,145.72,1667.69,3
training shoes,phrase,64,2791,,237.89,1064.98,8
online shoes,phrase,101,4972,8,449.22,2479.02,6
wide fit shoes,phrase,165,2140,13,-430.42,3343.01,8
reebok nano,broad,999999,4882,9,341.82,4272.5,4
kids shoes,exact,9,122,0,13.31,0.0,  10  
summer sandals,broad,37,4818,2,163.45,695.04,6
leather shoes,exact,119,1150,2,214.34,264.89,10
shoe reviews,phrase,288,4746,14,822.54,-3573.95,6
casual shoes,broad,268,8390,18,256.69,4668.91,6
shoe sale,exact,109,1776,3,194.52,1214.16,10
shoe clearance,broad,248,7870,14,739.73,5514.86,4
running shoes,exact,146,1287,2,437.0,581.04,8
running shoes,broad,96,8250,4,173.93,1378.19,3
shoe outlet,exact,38,768,2,53.62,172.86,8
shoe buying guide,phrase,77,1520,6,341.14,2336.11,8
soccer shoes,broad,146,3838,2,443.55,112.67,6
online shoes,phrase,163,3016,2,487.81,366.03,6
discount shoes,exact,229,1834,16,735.5,1692.25,10
crossfit shoes,exact,N/A,1428,12,306.61,1197.08,8
waterproof shoes,exact,227,1538,7,535.68,2231.85,10
trail  running  shoes,phrase,67,1455,4,110.48,1885.19,8
wide fit shoes,broad,58,1693,3,155.14,200.51,3
leather shoes,broad,70,2675,2,142.43,528.13,6
brand shoes,phrase,246,3982,13,861.49,6456.19,5
converse all star,phrase,80,1153,1,183.0,242.38,6
shoe models,phrase,153,@2008@,5,320.09,1350.79,5
shoe colors,exact,16,114,0,"523,08",0.0,10
tennis shoes,phrase,129,3147,12,106.94,2295.14,7
narrow shoes,broad,94,6073,5,312.44,1219.28,5
luxury shoes,phrase,76,1192,6,305.87,2265.35,7
tennis shoes,phrase,341,4661,17,1106.38,1175.56,8
shoe store,phrase,263,4327,23,543.53,7475.28,6
trail running shoes,phrase,29,1396,1,32.2,271.72,5
casual shoes,exact,146,1060,11,193.34,3900.6,9
tennis shoes,exact,162,1672,13,327.96,3672.73,8
shoe models,exact,138,948,11,324.87,4351.44,10
kids shoes,phrase,10,507,0,35.68,0.0,6
vans sneakers,phrase,53,2296,  4  ,176.51,1656.47,5
casual  shoes,exact,169,1718,8,146.19,3643.99,9
adidas ultraboost,phrase,256,4729,23,1183.04,1663.44,6
shoe clearance,phrase,105,2241,8,498.18,1467.18,8
TENNIS SHOES,broad,98,4571,7,340.38,2153.24,3
formal shoes,exact,76,695,1,262.67,377.71,10
tennis shoes,phrase,217,3223,5,244.07,739.02,6
soccer shoes,broad,175,5643,2,154.96,357.48,3
luxury shoes,broad,361,9438,29,1088.51,6862.34,5
puma running,phrase,284,4726,17,257.97,8205.98,5
winter boots,phrase,74,1980,5,223.6,1134.91,8
soccer shoes,phrase,233,4201,15,441.23,3297.17,7
women sports shoes,exact,138,1695,6,499.99,1898.3,8
training shoes,exact,8,114,0,16.36,0.0,9
basketball shoes,phrase,61,1095,0,270.17,0.0,6
nike  air  max,broad,16,2337,1,9.57,475.31,5
discount shoes,exact,95,1149,7,195.93,882.3,7
work shoes,broad,58,2759,2,125.71,400.75,6
shoe shop,phrase,100,3927,6,212.1,1486.27,6
formal shoes,phrase,94,1224,4,452.06,900.26,8
brand shoes,exact,65,727,3,226.17,1007.19,7
shoe reviews,broad,203,8344,10,  201.9  ,4818.81,4
shoe sizes,broad,76,2691,4,245.52,414.81,4
women sports shoes,exact,123,931,2,389.7,702.06,7
 online shoes ,phrase,111,1662,3,505.52,301.4,6
shoe reviews,broad,186,4827,8,625.48,3964.29,3
summer sandals,exact,115,1635,6,240.48,872.55,9
online shoes,phrase,147,3366,14,406.02,3189.24,7
shoe buying guide,phrase,103,2965,9,368.97,2819.62,6
training shoes,phrase,77,1210,2,59.74,279.21,6
narrow shoes,phrase,69,3451,1,154.1,460.82,5
leather shoes,phrase,224,4899,18,946.47,2629.76,8
converse all star,broad,90,5449,6,46.74,1136.28,-
tennis shoes,phrase,209,4480,219,230.06,2014.16,6
trail running shoes,exact,228,1526,4,751.79,476.47,9
reebok nano,phrase,310,4550,29,1003.65,1514.03,8
shoe promotion,exact,131,1567,2,222.34,956.57,9
shoe ratings,exact,94,1139,6,186.47,1299.32,8
climbing shoes,broad,116,4021,2,576.26,193.63,6
shoe reviews,exact,268,1859,10,1147.12,4844.5,7
narrow shoes,phrase,202,3393,12,490.58,5157.65,8
gym shoes,phrase,64,991,4,94.32,965.9,6
WINTER BOOTS,broad,118,3660,9,176.57,2848.16,5
leather shoes,broad,212,8388,15,154.25,3089.62,6
leather shoes,phrase,46,1022,3,156.5,304.55,8
shoe clearance,broad,49,3432,4,26.13,1507.54,4
shoe buying guide,phrase,219,2934,16,645.62,1212.73,5
shoe discount,broad,53,4991,5,72.66,577.15,6
summer sandals,phrase,50,2033,4,150.23,1585.85,6
shoe comparison,phrase,35,933,0,24.22,0.0,6
crossfit shoes,phrase,123,3651,4,406.07,375.56,5
 wide fit shoes ,broad,112,3651,7,395.56,1263.97,5
climbing shoes,broad,65,7216,4,286.73,301.32,6
shoe sale,phrase,216,4737,8,1009.2,2344.79,6
shoe brands,broad,135,8754,12,491.81,2482.48,4
shoe sale,exact,273,1951,24,896.79,10304.89,9
training shoes,exact,76,1204,4,198.36,1259.78,8
climbing shoes,broad,30,3182,2,71.62,521.33,6
shoe  shop,phrase,24,630,1,101.68,80.58,8
reebok nano,phrase,145,3074,9,211.83,3930.41,8
kids shoes,exact,206,1864,7,761.34,1598.99,9
converse all star,exact,147,-,12,574.37,2084.56,8
shoe buying guide,phrase,133,3309,5,482.73,632.88,5
shoe sizes,phrase,255,4501,16,981.46,1798.22,8
walking shoes,phrase,57,953,4,29.78,1422.9,8
brand shoes,broad,242,6376,3,969.28,782.08,5
puma running,exact,123,1825,8,105.98,452.55,7
reebok nano,broad,10,2102,0,25.14,0.0,3
basketball shoes,exact,101,1016,8,323.21,1658.34,10
converse all star,phrase,108,@2221@,3,539.01,1291.49,7
 training shoes ,phrase,37,1580,0,85.54,0.0,7
WOMEN SPORTS SHOES,broad,232,6700,10,897.2,4533.91,4
walking shoes,exact,22,177,0,23.98,0.0,7
shoe sale,broad,166,4910,2,181.64,654.36,5
shoe store,phrase,38,614,2,145.43,516.5,6
shoe outlet,phrase,143,2982,9,370.69,1219.05,5
summer sandals,phrase,134,2098,9,634.71,2665.06,8
shoe promotion,phrase,52,870,3,130.38,539.19,6
shoe sale,phrase,261,3478,6,902.1,354.94,8
running shoes,phrase,148,2150,14,150.37,1119.36,8
shoe store,broad,169,6132,11,152.9,1544.67,6
nike air max,phrase,141,2106,12,517.89,"5.465,61",5
casual shoes,broad,79,3250,5,178.65,357.15,3
training shoes,exact,38,429,3,123.45,1074.44,9
shoe ratings,broad,8,1423,0,24.2,"0,00",5
casual shoes,exact,53,536,2,181.31,881.88,10
shoe clearance,phrase,28,555,2,79.65,445.41,5
kids shoes,exact,156,1078,13,727.33,2544.84,9
hiking shoes,phrase,63,805,  4  ,197.38,963.7,8
wide fit shoes,phrase,233,3373,10,763.96,3446.46,5
crossfit  shoes,phrase,155,2014,14,314.14,6377.66,5
online shoes,broad,217,7030,21,882.21,3038.37,6
nike air max,broad,801.91,7688,18,412.8,4166.92,5
shoe ratings,phrase,228,2896,14,1114.28,4469.95,6
 shoe ratings ,phrase,167,2221,3,529.36,384.36,8
shoe colors,broad,82,7229,4,161.87,350.75,3
shoe ratings,phrase,326,4302,13,696.28,3830.53,6
casual shoes,exact,85,1270,2,176.49,266.42,7
shoe models,broad,109,8372,4,151.39,783.55,4
shoe colors,broad,122,9729,2,580.75,411.83,3
luxury shoes,exact,134,952,8,-330.01,3825.6,8
vans sneakers,phrase,49,NULL,4,190.91,910.16,6
online shoes,phrase,49,866,3,199.11,688.95,5
kids shoes,phrase,193,2856,14,397.76,5832.51,5
basketball shoes,exact,174,1580,9,252.89,2448.32,"
10
"
shoe comparison,phrase,103,2848,7,312.43,1814.36,7
shoe promotion,phrase,"131,00",3555,11,196.52,1570.9,5
vans sneakers,exact,148,1008,9,271.72,962.21,9
winter boots,broad,205,5867,2,976.43,982.71,6
vans sneakers,phrase,65,824,3,236.01,186.23,5
shoe ratings,exact,61,443,6,53.57,,7
shoe ratings,phrase,22,731,1,73.0,117.84,5
walking shoes,exact,17,138,1,66.5,495.99,7
shoe outlet,broad,210,5719,8,885.58,3474.36,3
shoe discount,broad,149,6663,4,161.03,1578.95,5
shoe outlet,broad,142,7750,5,593.65,1152.53,4
women sports shoes,exact,47,470,0,232.13,0.0,9
shoe discount,phrase,102,1950,10,211.48,4311.22,8
luxury shoes,phrase,157,2807,3,674.33,1218.14,8
shoe outlet,exact,198,1347,6,696.85,2771.0,8
discount shoes,exact,23,295,0,31.61,0.0,9
formal shoes,phrase,303,4285,15,825.16,7422.64,5
women sports shoes,exact,128,1007,5,488.12,2287.87,7
formal shoes,phrase,327,4597,31,884.25,9735.51,7
shoe outlet,phrase,95,2979,8,441.39,3734.63,7
shoe colors,exact,13,154,0,36.98,0.0,7
LEATHER SHOES,broad,161,5415,11,711.78,799.68,6
hiking shoes,exact,136,1674,4,548.75,1718.57,7
training shoes,phrase,58,919,1,40.87,179.24,5
marathon shoes,broad,99,4732,2,130.52,258.14,3
leather shoes,exact,57,1074,5,263.49,848.43,10
casual shoes,broad,62,1878,5,83.34,1546.66,5
yoga shoes,broad,38,2364,3,86.2,739.74,6
shoe buying guide,exact,32,554,-1,112.29,404.14,7
training shoes,phrase,215,4628,10,302.72,2221.62,5
hiking shoes,exact,51,611,5,192.5,2474.24,10
shoe promotion,phrase,115,1498,4,246.6,1851.26,8
running shoes,phrase,180,4612,3,483.43,1401.04,6
vans sneakers,phrase,92,2219,2,,116.71,7
shoe promotion,broad,97,3069,1,116.93,70.52,5
shoe comparison,phrase,295,4216,23,448.67,1161.41,8
shoe buying guide,phrase,84,1871,4,198.96,533.36,5
adidas ultraboost,exact,149,1485,13,257.73,6213.85,8
online shoes,exact,222,1959,12,454.53,4657.87,9
work shoes,phrase,178,3070,188,443.93,2447.29,5
converse all star,broad,46,3441,4,107.61,1381.99,6
tennis shoes,phrase,108,2662,2,259.08,684.14,8
shoe outlet,exact,106,1870,2,232.13,170.19,10
shoe models,broad,131,9712,12,242.93,1794.78,5
women sports shoes,phrase,241,3439,19,428.54,4012.09,6
tennis shoes,exact,39,299,1,128.5,225.81,7
tennis shoes,exact,"131,00",1625,2,77.98,328.94,7
casual shoes,broad,212,5816,7,134.4,1317.99,3
waterproof shoes,phrase,79,1155,5,53.38,1487.81,5
online shoes,broad,149,9403,6,271.22,1554.17,5
shoe brands,exact,21,156,1,76.15,181.59,9
waterproof shoes,broad,78,2117,2,184.62,930.78,5
climbing shoes,exact,22,286,0,14.4,0.0,10
shoe brands,broad,25,4416,1,69.05,204.51,5
tennis shoes,phrase,251,4229,11,537.76,2493.93,6
discount shoes,phrase,94,2892,5,113.97,814.38,7
vans sneakers,broad,265,8212,21,358.13,9053.35,3
training shoes,phrase,70,2320,6,93.17,"2.290,82",8
 shoe sizes ,exact,79,1360,3,239.03,603.13,10
puma running,phrase,100,1758,1,475.56,366.95,5
shoe comparison,phrase,87,2385,  2  ,162.49,486.97,6
shoe models,exact,12,153,1,53.84,103.26,9
reebok nano,broad,139,9767,4,585.93,798.5,5
yoga shoes,exact,90,1213,6,399.22,806.01,10
shoe shop,phrase,95,2042,8,225.41,3300.19,8
leather shoes,exact,268,1893,18,516.55,7565.42,10
casual shoes,broad,105,9442,1,207.28,410.69,3
casual shoes,exact,128,999,11,366.56,2184.38,9
shoe brands,broad,188,6698,6,238.4,1008.93,4
shoe clearance,broad,67,4531,0,95.67,0.0,6
shoe sale,exact,159,1886,15,450.23,4367.76,7
running shoes,exact,39,710,0,47.02,0.0,8
running shoes,exact,136,1686,12,647.88,5948.24,10
tennis shoes,broad,217,9439,16,194.74,3629.45,5
climbing shoes,phrase,75,1335,4,143.98,1193.5,7
tennis shoes,phrase,54,983,3,30.09,1097.19,8
online shoes,broad,240,7557,6,324.13,904.58,3
running shoes,phrase,159,2781,11,505.34,4458.03,7
narrow shoes,broad,64,2050,3,157.45,948.64,6
shoe colors,broad,108,3228,8,241.25,903.0,6
crossfit shoes,phrase,60,1206,4,167.65,1463.3,7
men shoes,phrase,88,1196,1,420.34,285.95,6
training shoes,phrase,83,1203,6,85.2,1740.25,7
skechers memory foam,phrase,114,1510,8,134.82,1313.47,6
nike air max,phrase,54,2004,3,53.92,429.85,6
shoe comparison,phrase,138,3941,11,309.18,3585.93,8
crossfit shoes,exact,85,952,3,402.53,1120.63,8
winter boots,exact,204,1857,4,838.05,1659.17,8
gym shoes,broad,17,2894,1,30.19,440.98,5
nike air max,phrase,73,2548,3,271.1,,7
walking shoes,phrase,151,3949,2,496.32,-9999.99,6
gym shoes,exact,89,1465,2,272.33,932.82,10
WATERPROOF SHOES,exact,66,899,1,65.63,294.58,9
shoe models,exact,165,"1.546,00",10,89.7,4104.32,10
hiking shoes,broad,112,9473,10,296.55,2757.18,6
shoe promotion,exact,106,1184,6,81.04,1425.53,7
adidas ultraboost,broad,220,6816,8,463.08,3851.71,6
shoe brands,phrase,227,3102,18,609.29,4373.62,6
luxury shoes,exact,47,781,1,152.33,447.92,8
shoe sale,phrase,304,4961,23,1430.97,1819.01,5
shoe colors,exact,173,1242,9,523.39,794.09,10
hiking shoes,broad,25,2356,0,60.59,0.0,3
climbing shoes,phrase,154,3462,9,729.9,1802.77,8
narrow shoes,phrase,246,3904,9,906.62,1838.55,8
shoe promotion,broad,48,7122,1,114.68,377.56,3
walking shoes,exact,239,1698,18,390.07,1601.31,7
women sports shoes,broad,103,6816,6,443.39,940.16,6
wide fit shoes,phrase,203,2802,9,723.84,1993.15,5
shoe buying guide,exact,17,124,1,38.48,67.42,7
summer sandals,exact,31,440,2,153.67,956.58,7
converse all star,broad,45,1240,4,186.66,1579.19,3
shoe buying guide,phrase,176,3282,3,362.88,1081.48,6
luxury shoes,exact,137,1342,12,271.25,1132.57,9
online shoes,phrase,110,2889,3,236.43,774.5,8
reebok nano,exact,176,1395,4,214.67,810.41,8
vans sneakers,exact,154,1842,8,730.09,3845.16,8
shoe buying guide,phrase,291,4679,3,750.15,1116.98,6
shoe brands,exact,50,475,3,144.95,1421.45,9
men shoes,exact,59,447,2,80.96,481.49,8
shoe ratings,exact,12,112,0,26.75,0.0,8
 converse all star ,exact,49,408,0,227.87,0.0,8
vans sneakers,exact,81,754,4,260.47,1512.04,7
shoe models,broad,111,3545,10,394.99,2731.89,4
tennis shoes,broad,198,8844,13,941.63,5400.95,3
wide fit shoes,phrase,17,506,0,49.11,0.0,5
nike air max,phrase,377,4939,25,1102.17,4336.85,5
online shoes,phrase,97,3598,7,275.21,432.77,6
shoe models,exact,"195,00",1943,18,197.42,4758.6,10
affordable shoes,phrase,308,4411,10,168.43,-9999.99,6
shoe discount,exact,160,1365,5,83.19,1220.95,8
kids shoes,phrase,268,-4908,20,1277.42,4908.89,7
shoe discount,exact,47,319,0,186.26,0.0,7
nike air max,phrase,135,2783,2,69.22,739.09,5
winter boots,exact,114,1982,1,474.76,363.85,7
 shoe buying guide ,exact,56,979,3,211.74,316.35,9
formal shoes,broad,170,4453,5,266.34,1186.4,5
shoe outlet,phrase,71,2102,2,295.82,765.8,5
hiking shoes,phrase,1000000,1165,1,224.4,468.86,8
shoe comparison,exact,87,922,2,300.52,643.34,7
wide fit shoes,phrase,205,2830,9,487.1,1308.26,7
marathon shoes,phrase,24,988,1,91.57,62.28,6
nike air max,exact,1600,600,2,189.08,337.07,8
soccer shoes,exact,126,1093,N/A,566.09,3378.78,9
training  shoes,phrase,102,3073,9,106.95,2464.07,6
AFFORDABLE SHOES,phrase,54,2343,4,263.69,1419.13,8
yoga shoes,exact,78,1433,2,132.33,700.43,10
formal shoes,phrase,170,4764,6,400.14,2609.82,7
shoe buying guide,exact,18,137,0,88.28,0.0,7
waterproof shoes,exact,291,1983,5,1326.4,1443.99,10
shoe brands,broad,54,1701,2,58.72,725.11,4
wide fit shoes,exact,36,297,2,26.31,989.03,9
formal shoes,phrase,331,4378,16,389.41,5941.4,7
women sports shoes,broad,59,4607,2,186.63,647.79,5
tennis shoes,broad,20,1138,1,16.16,83.34,5
shoe colors,exact,64,637,2,246.1,472.4,8
tennis shoes,phrase,172,2218,2,281.41,500.44,8
affordable shoes,exact,5,100,0,20.63,0.0,8
shoe promotion,exact,45,470,1,144.33,342.42,9
skechers memory foam,broad,77,4677,5,104.04,1680.68,5
winter boots,phrase,263,3790,20,314.32,4926.8,"8,00"
vans sneakers,phrase,37,669,0,121.05,0.0,8
yoga shoes,phrase,88,-3017,5,433.57,2356.94,5
shoe promotion,phrase,111,2664,8,195.89,2163.63,6
running shoes,broad,86,3252,4,334.81,352.73,5
climbing shoes,phrase,288,3615,5,1137.0,871.54,5
running shoes,broad,83,2579,5,260.13,1419.21,6
adidas ultraboost,phrase,110,1680,7,492.76,1889.31,5
shoe ratings,exact,144,1411,13,247.42,1405.38,7
summer  sandals,exact,78,780,5,298.35,1691.22,9
narrow shoes,broad,163,7672,13,327.43,1125.6,6
waterproof shoes,exact,170,1453,8,789.65,1189.31,9
shoe comparison,broad,273,8479,25,225.51,11809.76,4
training shoes,phrase,40,619,3,93.9,797.46,8
crossfit shoes,exact,48,649,2,37.05,115.56,7
hiking shoes,exact,71,527,1,270.83,135.47,8
leather shoes,exact,203,1993,2,331.79,874.97,10
vans sneakers,broad,49,2364,1,77.32,429.19,3
brand shoes,exact,28,392,1,34.01,110.55,10
